age,sleep_duration,heart_rate,work_hours,screen_time,physical_activity,stress_level
56,5.3,72.0,9.3,4.9,5.0,2
46,6.6,68.0,11.3,5.0,62.0,0
32,7.5,85.0,8.8,5.3,58.0,0
25,6.3,80.0,12.6,6.5,33.0,1
38,8.2,108.0,13.3,6.8,17.0,2
56,7.3,82.0,10.9,2.7,51.0,0
36,3.2,104.0,12.2,4.9,12.0,2
40,5.7,68.0,5.5,8.0,15.0,1
28,5.7,63.0,5.1,2.9,34.0,0
28,7.2,69.0,10.1,5.6,65.0,0
41,3.0,96.0,4.5,5.2,48.0,1
53,10.3,103.0,7.6,4.4,22.0,2
57,7.3,73.0,10.8,8.7,1.0,2
41,6.7,76.0,12.7,5.6,36.0,1
20,8.3,68.0,7.7,8.5,40.0,0
39,10.0,60.0,6.6,5.5,34.0,0
19,7.8,91.0,9.5,6.4,71.0,0
41,7.9,85.0,5.3,4.3,32.0,1
47,6.7,82.0,8.0,4.4,0.0,2
55,6.3,65.0,8.5,6.3,27.0,1
19,5.8,102.0,8.4,6.4,44.0,1
38,5.3,76.0,8.8,6.7,43.0,0
50,5.5,88.0,6.0,6.3,31.0,1
29,4.5,65.0,6.3,2.8,28.0,1
39,6.4,80.0,6.3,3.9,0.0,2
42,4.0,85.0,3.6,7.2,37.0,1
44,6.8,86.0,9.5,1.6,28.0,2
59,6.4,84.0,11.2,6.1,40.0,1
45,6.7,88.0,10.9,5.3,45.0,1
33,5.7,68.0,7.7,7.2,60.0,0
32,11.1,84.0,6.1,6.3,16.0,2
20,8.5,83.0,10.7,4.2,9.0,2
54,4.6,85.0,10.4,4.1,24.0,1
24,6.8,83.0,9.2,4.5,20.0,2
38,5.6,67.0,13.7,6.7,18.0,2
26,5.0,66.0,8.4,0.9,64.0,0
56,4.5,55.0,7.7,5.8,38.0,0
35,7.1,92.0,7.3,3.7,74.0,0
21,5.5,92.0,3.8,5.9,35.0,2
42,8.0,92.0,10.5,6.2,12.0,2
31,8.0,86.0,8.2,2.2,19.0,2
26,8.6,56.0,10.0,5.0,55.0,0
43,5.2,70.0,14.0,5.8,12.0,2
19,7.2,84.0,7.3,5.7,46.0,1
37,7.4,84.0,1.5,5.3,28.0,1
45,5.8,79.0,9.9,3.1,16.0,2
24,5.3,86.0,9.0,3.4,63.0,0
25,8.9,82.0,6.3,2.7,23.0,1
52,6.8,83.0,9.7,6.6,18.0,2
31,7.5,74.0,10.9,5.3,33.0,1
34,5.3,94.0,5.7,5.4,25.0,2
53,4.7,77.0,7.6,2.1,79.0,0
57,5.6,66.0,12.9,5.4,56.0,0
21,6.3,73.0,6.3,6.8,23.0,1
19,4.9,78.0,8.7,1.8,25.0,2
23,6.5,94.0,1.0,4.4,0.0,2
59,4.0,81.0,4.1,2.4,38.0,0
21,4.8,80.0,9.0,4.7,20.0,2
46,7.5,67.0,12.2,3.7,37.0,1
35,7.4,91.0,4.4,6.3,0.0,2
43,5.9,74.0,8.7,5.8,34.0,0
